Bloom_Report_ID,Case_Assignment,Case_ID,Number_of_Blooms_Linked_to_Case,Report_Type,Bloom_Date_Created,Water_Body_Name,Official_Water_Body_Name,Landmark,County,Regional_Water_Board,Bloom_Latitude,Bloom Longitude,Bloom_Longitude,Bloom_Datum,Observation_Date,Has_Pictures,Reported_Advisory_Types,Weather_Condition,Surface_Water_Condition,Bloom_Size,Bloom_Location,Bloom_Texture,Reported_Management_Organizations,DDW_District_Office,Drinking_Water_Source,Water_Body_Manager,Rec_Land_Manager,Water_Body_Use,Water_Body_Type,Number_of_Advisories_Linked_to_Bloom,Advisory_ID,Response_Update_By,Advisory_Recommended,Advisory_Date,AdvisoryStartDate,AdvisoryEndDate,AdvisoryDetail,Advisory_Detail_Description,Advisory_Date_of_Recommendation,Spatial_Extent_of_Advisory,Extent_Unit_of_Measure,Last_Field_Result_Sample_Date,Lab_Data_Linked_to_Bloom,Field_Visual_Records_Linked_to_Bloom,Field_Measurement_Data_Linked_to_Bloom,Case_Start_Date,Case_Year,Case_Water_Body_Name,Case_Class,Case_Status,Case_Lead,Case_End_Date,Case_DateTimeStamp,HAB_Bloom_Reports_FLATFILE_ID
1499,,22,4,Public Reporting,10/18/2016 12:00:00 AM,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,-122.96739,,10/13/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,1,1435,,NA - refer to Report Details,,10/18/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Pillsbury,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,11
1502,,22,4,Public Reporting,11/1/2016 12:00:00 AM,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,-122.96739,,10/26/2016 12:00:00 AM,No,None,,,,,,North Coast Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,1,3,,None,,11/1/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Pillsbury,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,12
1462,,22,4,,9/6/2016 12:00:00 AM,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,-122.96739,,8/31/2016 12:00:00 AM,Yes,None,,,larger than a football field,,,North Coast Regional Water Quality Control Board,,Yes,Unknown,Unknown,,Reservoir,1,2,,None,11/1/2016 12:00:00 AM,9/6/2016 12:00:00 AM,,,,11/1/2016 12:00:00 AM,,,8/31/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Pillsbury,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,13
1456,,22,4,Public Reporting,8/29/2016 12:00:00 AM,Lake Pillsbury,Lake Pillsbury Hydrologic Subarea,Lake Pillsbury,Lake,Region 1 - North Coast,39.4356241,-122.96739,-122.96739,,8/24/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,North Coast Regional Water Quality Control Board,,,Unknown,Unknown,,Reservoir,1,1434,,NA - refer to Report Details,,8/29/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Pillsbury,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,14
1438,,23,2,,8/1/2016 12:00:00 AM,Quarry Lakes,Alameda Creek Quarry ponds,,Alameda,Region 2 - San Francisco Bay,37.572387,-122.00109,-122.00109,,3/4/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,EBRPs,,unknown,Unknown,Unknown,,Reservoir,1,1436,,NA - refer to Report Details,,8/1/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Quarry Lakes,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,15
1423,,23,2,,3/4/2016 12:00:00 AM,Quarry Lakes,Alameda Creek Quarry ponds,Quarry Lakes,Alameda,Region 2 - San Francisco Bay,37.572387,-122.00109,-122.00109,,3/4/2016 12:00:00 AM,No,Danger,,,,,,East Bay Regional Parks,,unknown,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,1,4,,Danger,3/14/2017 12:00:00 AM,3/4/2016 12:00:00 AM,,,,3/14/2017 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Quarry Lakes,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,16
1547,,24,1,,6/12/2017 12:00:00 AM,Lake Almaden,Almaden Reservoir,Lake Almaden,Santa Clara,Region 2 - San Francisco Bay,37.241355,-121.87268,-121.87268,,6/29/2016 12:00:00 AM,No,Danger,,,,,,City of San Jose,,No,Valley Water,City Department,,Reservoir,1,5,,Danger,6/12/2017 12:00:00 AM,6/12/2017 12:00:00 AM,,,,6/12/2017 12:00:00 AM,,,12/19/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Almaden,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,17
1425,,25,1,Public Reporting,6/1/2016 12:00:00 AM,Arroyo Valle,Arroyo del Valle,Arroyo Valle upstream of Shadow Cliffs Regional Park,Alameda,Region 2 - San Francisco Bay,37.6684618,-121.84425,-121.84425,,6/1/2016 12:00:00 AM,No,None,,,,,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Wadeable stream,1,6,,None,4/11/2017 12:00:00 AM,6/1/2016 12:00:00 AM,,,,4/11/2017 12:00:00 AM,,,7/1/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Arroyo Del Valle,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,18
1424,,26,2,,4/28/2016 12:00:00 AM,Lake del Valle,Del Valle Reservoir,Lake del Valle,Alameda,Region 2 - San Francisco Bay,37.597211,-121.72118,-121.72118,,4/28/2016 12:00:00 AM,No,Warning,,,,,,East Bay Regional Parks,,yes,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,1,7,,Warning,8/31/2017 12:00:00 AM,4/28/2016 12:00:00 AM,,,,8/31/2017 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Del Valle,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,19
1507,,26,2,,12/9/2016 12:00:00 AM,Lake Del Valle,Del Valle Reservoir,Lake Del Valle,Alameda,Region 2 - San Francisco Bay,37.586436,-121.70371,-121.70371,,12/5/2016 12:00:00 AM,No,Danger,,,no bloom,,,East Bay Regional Park District,,Yes,Other,East Bay Regional Park District,,Reservoir,1,8,,Danger,8/31/2017 12:00:00 AM,12/9/2016 12:00:00 AM,,,,8/31/2017 12:00:00 AM,,,12/5/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Del Valle,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,20
1496,,27,1,,9/29/2016 12:00:00 AM,Laguna Lake,Laguna Lake,Laguna Lake,San Luis Obispo,Region 3 - Central Coast,35.2669192,-120.68628,-120.68628,WGS84,9/27/2016 12:00:00 AM,Yes,Warning,,,larger than a football field,,,Central Coast Regional Water Quality Control Board,,No,City Department,City Department,,Reservoir,1,9,,Warning,,9/29/2016 12:00:00 AM,,,,,,,9/22/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Laguna Lake,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,21
1426,,28,1,Public Reporting,7/28/2016 12:00:00 AM,Lake Anza,Lake Anza,Lake Anza,Contra Costa,Region 2 - San Francisco Bay,37.896029,-122.25034,-122.25034,,5/20/2016 12:00:00 AM,No,Danger,,,,,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,1,10,,Danger,12/8/2016 12:00:00 AM,7/28/2016 12:00:00 AM,,,,12/8/2016 12:00:00 AM,,,12/29/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Anza,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,22
1439,,29,1,,8/1/2016 12:00:00 AM,Lake Anza,Lake Anza,,Contra Costa,Region 2 - San Francisco Bay,37.896029,-122.25034,-122.25034,,5/20/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,,,unknown,Unknown,Unknown,,Reservoir,1,1437,,NA - refer to Report Details,,8/1/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Anza,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,23
1427,,30,1,Public Reporting,8/5/2016 12:00:00 AM,Lake Chabot,Lake Chabot (Alameda),Lake Chabot (Alameda Co),Alameda,Region 2 - San Francisco Bay,37.726948,-122.11221,-122.11221,,8/5/2016 12:00:00 AM,No,None,,,,,,East Bay Regional Parks,,,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,1,11,,None,12/8/2016 12:00:00 AM,8/5/2016 12:00:00 AM,,,,12/8/2016 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Chabot (Alameda Co),Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,24
1440,,31,1,,8/1/2016 12:00:00 AM,Lake Temescal,Lake Temescal,Lake Temescal,Alameda,Region 2 - San Francisco Bay,37.846563,-122.23053,-122.23053,,6/28/2016 12:00:00 AM,No,Danger,,,,,,EBRP,,unknown,East Bay Regional Park District,East Bay Regional Park District,,Reservoir,1,12,,Danger,12/8/2016 12:00:00 AM,8/1/2016 12:00:00 AM,,,,12/8/2016 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Temescal,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,25
1443,,32,1,,8/2/2016 12:00:00 AM,Kelly Lake,Kelley Lake,Kelly Lake,Santa Cruz,Region 3 - Central Coast,36.9397603,-121.73538,-121.73538,,7/15/2016 12:00:00 AM,No,Caution,,,,,,Central Coast Water Board,,unknown,Private entity,Private entity,,Reservoir,1,13,,Caution,7/15/2016 12:00:00 AM,8/2/2016 12:00:00 AM,,,,7/15/2016 12:00:00 AM,,,8/2/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Kelly Lake,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,26
1441,,33,1,,8/2/2016 12:00:00 AM,Pinto Lake,Pinto Lake,Pinto Lake,Santa Cruz,Region 3 - Central Coast,36.9502299,-121.76606,-121.76606,,8/2/2016 12:00:00 AM,No,Caution,,,,,,Central Coast Water Board,,no,Unknown,City Department,,Reservoir,1,14,,Caution,,8/2/2016 12:00:00 AM,,,,,,,8/2/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Pinto Lake,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,27
1503,,34,1,,11/18/2016 12:00:00 AM,El Dorado East Regional Park,El Dorado Lakes,"El Dorado East Regional Park, Long Beach",Los Angeles,Region 4 - Los Angeles,33.81544,-118.0854,-118.0854,,11/11/2016 12:00:00 AM,Yes,None,,,larger than a football field,,,SWRCB,,No,City Department,City Department,,Reservoir,1,15,,None,11/21/2016 12:00:00 AM,11/18/2016 12:00:00 AM,,,,11/21/2016 12:00:00 AM,,,11/18/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,El Dorado East Regional Park,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,28
1417,,35,1,,7/14/2016 12:00:00 AM,Pyramid Lake,Pyramid Lake,Pyramid Lake,Los Angeles,Region 4 - Los Angeles,34.662758,-118.76556,-118.76556,,7/6/2016 12:00:00 AM,No,None,,,,,,DWR,,no,California Department of Water Resources,California Department of Water Resources,,Reservoir,1,16,,None,10/12/2016 12:00:00 AM,7/14/2016 12:00:00 AM,,,,10/12/2016 12:00:00 AM,,,9/26/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Pyramid Lake,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,29
1437,,36,3,,7/28/2016 12:00:00 AM,Big Break Regional Shoreline,Big Break,,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,-121.72869,,7/25/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,Region 5,,no,Unknown,East Bay Regional Park District,,,1,1438,,NA - refer to Report Details,,7/28/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Big Break Regional Shoreline,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,30
1457,,36,3,Public Reporting,8/29/2016 12:00:00 AM,Big Break Regional Shoreline,Big Break,Big Break Regional Shoreline,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,-121.72869,,7/25/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,Region 5,,,Unknown,Unknown,,,1,1439,,NA - refer to Report Details,,8/29/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Big Break Regional Shoreline,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,31
1460,,36,3,,8/17/2016 12:00:00 AM,Big Break Regional Shoreline,Big Break,,Contra Costa,Region 5 - Central Valley,38.0123861,-121.72869,-121.72869,,7/25/2016 12:00:00 AM,No,None,,,,,,Region 5,,no,East Bay Regional Park District,East Bay Regional Park District,,Wadeable stream,1,17,,None,12/8/2016 12:00:00 AM,8/17/2016 12:00:00 AM,,,,12/8/2016 12:00:00 AM,,,12/8/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Big Break Regional Shoreline,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,32
1421,,37,1,,7/28/2016 12:00:00 AM,Clear Lake,Clear Lake,Clear Lake,Lake,Region 5 - Central Valley,39.0235,-122.77924,-122.77924,,6/19/2016 12:00:00 AM,No,None,,,,,,Central Valley Water Board,,yes,Private entity,County Environmental Health Department,,Reservoir,1,18,,None,,7/28/2016 12:00:00 AM,,,,,,,7/28/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Clear Lake,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,33
1418,,38,2,,7/18/2016 12:00:00 AM,Discovery Bay,Discovery Bay,Discovery Bay,Contra Costa,Region 5 - Central Valley,37.9016022,-121.62036,-121.62036,,7/15/2016 12:00:00 AM,No,Warning,,,,,,Central Valley Water Board,,no,City Department,City Department,,Reservoir,1,19,,Warning,9/9/2016 12:00:00 AM,7/18/2016 12:00:00 AM,,,,9/9/2016 12:00:00 AM,,,7/15/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Discovery Bay,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,34
1454,,38,2,Public Reporting,8/25/2016 12:00:00 AM,Discovery Bay,Discovery Bay,Discovery Bay - Multiple Locations Within Entire Bay,Contra Costa,Region 5 - Central Valley,37.903073,-121.59045,-121.59045,,7/15/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,Region 5,,,Unknown,Unknown,,,1,1440,,NA - refer to Report Details,,8/25/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Discovery Bay,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,35
1486,,39,1,,9/20/2016 12:00:00 AM,Fabian Canal,Fabian and Bell Canal,Fabian Canal Site along Grant Line Canal,San Joaquin,Region 5 - Central Valley,37.81911,-121.51217,-121.51217,,9/14/2016 12:00:00 AM,Yes,None,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,20,,None,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Fabian Canal,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,36
1483,,40,3,Public Reporting,9/20/2016 12:00:00 AM,Grant Line Canal,Grant Line Canal,Grant Line Canal (Tracy Oasis Marina-off dock site),San Joaquin,Region 5 - Central Valley,37.81929,-121.46058,-121.46058,,9/14/2016 12:00:00 AM,No,Caution,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,21,,Caution,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Grant Line Canal,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,37
1484,,40,3,,9/20/2016 12:00:00 AM,Grant Line Canal,Grant Line Canal,Grant Line Canal (Site GLC),San Joaquin,Region 5 - Central Valley,37.81969,-121.54513,-121.54513,,9/14/2016 12:00:00 AM,Yes,None,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,22,,None,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Grant Line Canal,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,38
1485,,40,3,,9/20/2016 12:00:00 AM,Grant Line Canal,Grant Line Canal,Grant Line Canal,San Joaquin,Region 5 - Central Valley,37.82024,-121.46621,-121.46621,,9/14/2016 12:00:00 AM,Yes,None,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,23,,None,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Grant Line Canal,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,39
1504,,41,2,Public Reporting,11/23/2016 12:00:00 AM,Lake Isabella,Lake Isabella,Lake Isabella and Keyesville Recreation Area (Kern River),Kern,Region 5 - Central Valley,35.647189,-118.47583,-118.47583,,11/10/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,Central Valley Regional Water Quality Control Board,,No,Unknown,Unknown,,Reservoir,1,1441,,NA - refer to Report Details,,11/23/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Isabella,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,40
1505,,41,2,Public Reporting,12/1/2016 12:00:00 AM,Lake Isabella,Lake Isabella,Lake Isabella and Keyesville Recreation Area (Kern River),Kern,Region 5 - Central Valley,35.647189,-118.47583,-118.47583,,11/28/2016 12:00:00 AM,No,NA - refer to Report Details,,,,,,Central Valley Regional Water Quality Control Board,,Unknown,Unknown,Unknown,,Reservoir,1,1442,,NA - refer to Report Details,,12/1/2016 12:00:00 AM,,,,,,,,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Isabella,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,41
1422,,42,1,,7/28/2016 12:00:00 AM,Lake Oroville,Lake Oroville,Lake Oroville,Butte,Region 5 - Central Valley,39.557213,-121.41005,-121.41005,,7/26/2016 12:00:00 AM,No,None,,,,,,Central Valley Water Board,,unknown,California Department of Water Resources,California Department of Water Resources,,Reservoir,1,24,,None,9/9/2016 12:00:00 AM,7/28/2016 12:00:00 AM,,,,9/9/2016 12:00:00 AM,,,7/28/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Lake Oroville,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,42
1487,,43,11,,9/20/2016 12:00:00 AM,Old River,Old River,Old River at Clifton Court Forebay Intake,San Joaquin,Region 5 - Central Valley,37.83017,-121.55357,-121.55357,,9/14/2016 12:00:00 AM,Yes,None,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,29,,None,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Old River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,43
1488,,43,11,,9/20/2016 12:00:00 AM,Old River,Old River,Old River Downstream of ODM site,San Joaquin,Region 5 - Central Valley,37.81411,-121.5508,-121.5508,,9/14/2016 12:00:00 AM,Yes,None,,,,,,Central Valley Regional Water Quality Control Board,,No,California Department of Water Resources,Unknown,,Wadeable stream,1,31,,None,,9/20/2016 12:00:00 AM,,,,,,,9/20/2016 12:00:00 AM,NO,NO,NO,1/1/2016 12:00:00 AM,2016,Old River,Event Response,Closed,MVan Dyke,12/31/2016 12:00:00 AM,,44
